num_episodes,num_steps,num_updates,episode_steps,train_reward
1.0,50.0,0.0,50.0,-16.991131899759964
2.0,100.0,0.0,50.0,-18.24893857695791
3.0,150.0,0.0,50.0,-21.197057090676196
4.0,200.0,0.0,50.0,-21.817479151081734
5.0,250.0,0.0,50.0,-23.546606377314987
6.0,300.0,43.0,50.0,-16.752102892645283
7.0,350.0,93.0,50.0,-13.562751077708135
8.0,400.0,143.0,50.0,-26.648526246807947
9.0,450.0,193.0,50.0,-15.278348903201843
10.0,500.0,243.0,50.0,-16.996746913276052
11.0,550.0,293.0,50.0,-13.563146033202228
12.0,600.0,343.0,50.0,-21.423841523405812
13.0,650.0,393.0,50.0,-24.305779903010947
14.0,700.0,443.0,50.0,-20.013568981732615
15.0,750.0,493.0,50.0,-24.615612619295913
16.0,800.0,543.0,50.0,-17.92867590973822
17.0,850.0,593.0,50.0,-22.297763237081803
18.0,900.0,643.0,50.0,-20.45445209351235
19.0,950.0,693.0,50.0,-17.202966413723072
20.0,1000.0,743.0,50.0,-25.351296191951047
21.0,1050.0,793.0,50.0,-16.640961502626894
22.0,1100.0,843.0,50.0,-26.38746809797585
23.0,1150.0,893.0,50.0,-21.40947144513725
24.0,1200.0,943.0,50.0,-17.04211760759777
25.0,1250.0,993.0,50.0,-24.662421199710273
26.0,1300.0,1043.0,50.0,-18.322767768007427
27.0,1350.0,1093.0,50.0,-24.06992864357243
28.0,1400.0,1143.0,50.0,-23.44160874775653
29.0,1450.0,1193.0,50.0,-15.51475429680471
30.0,1500.0,1243.0,50.0,-24.084379797480356
31.0,1550.0,1293.0,50.0,-21.740684760373846
32.0,1600.0,1343.0,50.0,-26.07829272705878
33.0,1650.0,1393.0,50.0,-26.845948041420144
34.0,1700.0,1443.0,50.0,-21.001766772599407
35.0,1750.0,1493.0,50.0,-23.62180097746399
36.0,1800.0,1543.0,50.0,-22.16801872242674
37.0,1850.0,1593.0,50.0,-23.488154581334108
38.0,1900.0,1643.0,50.0,-19.945256464750376
39.0,1950.0,1693.0,50.0,-22.736337439730665
40.0,2000.0,1743.0,50.0,-19.733133164039607
41.0,2050.0,1793.0,50.0,-18.4370677755776
42.0,2100.0,1843.0,50.0,-19.52824082633419
43.0,2150.0,1893.0,50.0,-18.61511979196107
44.0,2200.0,1943.0,50.0,-15.477469341806694
45.0,2250.0,1993.0,50.0,-19.604134247935793
46.0,2300.0,2043.0,50.0,-25.931887129425938
47.0,2350.0,2093.0,50.0,-22.894600529789507
48.0,2400.0,2143.0,50.0,-27.821946853862386
49.0,2450.0,2193.0,50.0,-26.648481100976483
50.0,2500.0,2243.0,50.0,-24.00275888064714
51.0,2550.0,2293.0,50.0,-20.712848160619366
52.0,2600.0,2343.0,50.0,-28.753401452065933
53.0,2650.0,2393.0,50.0,-18.010258613269055
54.0,2700.0,2443.0,50.0,-17.65638244878591
55.0,2750.0,2493.0,50.0,-17.249894147191533
56.0,2800.0,2543.0,50.0,-25.722666731267797
57.0,2850.0,2593.0,50.0,-23.597714619661243
58.0,2900.0,2643.0,50.0,-27.56134106786816
59.0,2950.0,2693.0,50.0,-23.53614105092725
60.0,3000.0,2743.0,50.0,-22.059958160469517
61.0,3050.0,2793.0,50.0,-24.33525119026579
62.0,3100.0,2843.0,50.0,-22.178514062509432
63.0,3150.0,2893.0,50.0,-23.429474973722684
64.0,3200.0,2943.0,50.0,-27.050936986370697
65.0,3250.0,2993.0,50.0,-24.315351026597064
66.0,3300.0,3043.0,50.0,-22.67814146178971
67.0,3350.0,3093.0,50.0,-19.763863167016915
68.0,3400.0,3143.0,50.0,-20.095632306032723
69.0,3450.0,3193.0,50.0,-24.620688343406613
70.0,3500.0,3243.0,50.0,-15.24370473897068
71.0,3550.0,3293.0,50.0,-26.31336636188745
72.0,3600.0,3343.0,50.0,-17.820285951990616
73.0,3650.0,3393.0,50.0,-22.99833203172426
74.0,3700.0,3443.0,50.0,-27.362533920485813
75.0,3750.0,3493.0,50.0,-27.92085343756508
76.0,3800.0,3543.0,50.0,-22.017456241510985
77.0,3850.0,3593.0,50.0,-20.13910910327072
78.0,3900.0,3643.0,50.0,-20.496597340710384
79.0,3950.0,3693.0,50.0,-14.299479648530246
80.0,4000.0,3743.0,50.0,-14.784392130596265
81.0,4050.0,3793.0,50.0,-25.049599228774095
82.0,4100.0,3843.0,50.0,-21.430303805663698
83.0,4150.0,3893.0,50.0,-19.439474379154937
84.0,4200.0,3943.0,50.0,-25.902707075750968
85.0,4250.0,3993.0,50.0,-21.466458320826188
86.0,4300.0,4043.0,50.0,-20.30075630491768
87.0,4350.0,4093.0,50.0,-18.61776756819592
88.0,4400.0,4143.0,50.0,-18.80424802433532
89.0,4450.0,4193.0,50.0,-18.650973605676096
90.0,4500.0,4243.0,50.0,-16.612140234584235
91.0,4550.0,4293.0,50.0,-19.540412792200627
92.0,4600.0,4343.0,50.0,-17.71663241632273
93.0,4650.0,4393.0,50.0,-19.826010909292915
94.0,4700.0,4443.0,50.0,-26.32518957137237
95.0,4750.0,4493.0,50.0,-13.814709570708299
96.0,4800.0,4543.0,50.0,-18.51416362699856
97.0,4850.0,4593.0,50.0,-20.005631294835723
98.0,4900.0,4643.0,50.0,-25.71522879323306
99.0,4950.0,4693.0,50.0,-20.665877959143636
100.0,5000.0,4743.0,50.0,-27.61863351557521
101.0,5050.0,4793.0,50.0,-19.548247453975883
102.0,5100.0,4843.0,50.0,-14.851779048494992
103.0,5150.0,4893.0,50.0,-16.202117221901844
104.0,5200.0,4943.0,50.0,-24.514039180338205
105.0,5250.0,4993.0,50.0,-24.68816282025403
106.0,5300.0,5043.0,50.0,-19.36132412170245
107.0,5350.0,5093.0,50.0,-16.057331334277325
108.0,5400.0,5143.0,50.0,-15.871255991021266
109.0,5450.0,5193.0,50.0,-15.413071365928404
110.0,5500.0,5243.0,50.0,-20.853888870427358
111.0,5550.0,5293.0,50.0,-15.322052995809276
112.0,5600.0,5343.0,50.0,-15.709232939003293
113.0,5650.0,5393.0,50.0,-13.328591726387145
114.0,5700.0,5443.0,50.0,-22.653334529109806
115.0,5750.0,5493.0,50.0,-10.513031734279071
116.0,5800.0,5543.0,50.0,-19.48696307724602
117.0,5850.0,5593.0,50.0,-21.29914453549431
118.0,5900.0,5643.0,50.0,-28.24648565954453
119.0,5950.0,5693.0,50.0,-20.640984459217137
120.0,6000.0,5743.0,50.0,-12.818715334518064
121.0,6050.0,5793.0,50.0,-19.25230909829734
122.0,6100.0,5843.0,50.0,-16.640074926527127
123.0,6150.0,5893.0,50.0,-15.513918960463531
124.0,6200.0,5943.0,50.0,-6.256992847965238
125.0,6250.0,5993.0,50.0,-20.232000850442315
126.0,6300.0,6043.0,50.0,-20.67997642357161
127.0,6350.0,6093.0,50.0,-19.002215959644946
128.0,6400.0,6143.0,50.0,-13.707367079033371
129.0,6450.0,6193.0,50.0,-12.816610622967923
130.0,6500.0,6243.0,50.0,-16.06332342943154
131.0,6550.0,6293.0,50.0,-17.226015311467194
132.0,6600.0,6343.0,50.0,-16.618331915665806
